N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
50;131;81;212;Tl;-1551;200;7780.0;1;5998;200;211;998335;215;1;8011.243941782091;-231.2439417820906
48;130;82;212;Pb;-7548.850;1.842;7804.319;0.009;569.104;1.825;211;991895.975;1.977;-1;8034.571439473858;-230.25243947385752
46;129;83;212;Bi;-8117.954;1.854;7803.313;0.009;2251.533;1.667;211;991285.016;1.989;1;8038.211562796468;-234.89856279646756
44;128;84;212;Po;-10369.487;1.152;7810.243;0.005;-1741.266;2.107;211;988867.896;1.236;-1;8051.191449791906;-240.94844979190566
42;127;85;212;At;-8628.221;2.384;7798.34;0.011;31.387;3.605;211;990737.223;2.559;1;8044.48396241819;-246.1439624181894
40;126;86;212;Rn;-8659.608;3.145;7794.797;0.015;-5143.640;9.318;211;990703.528;3.376;-1;8047.116238717301;-252.31923871730123
38;125;87;212;Fr;-3515.968;8.775;7766.845;0.041;-3317.000;14.276;211;996225.453;9.420;1;8030.061140647255;-263.2161406472551
36;124;88;212;Ra;-198.968;11.263;7747.508;0.053;-7476.266;52.601;211;999786.399;12.091;-1;8022.34580625004;-274.83780625004056
34;123;89;212;Ac;7277.298;51.381;7708.552;0.242;-4833.510;52.366;212;007812.501;55.160;1;7994.943097483668;-286.3910974836681
32;122;90;212;Th;12110.808;10.109;7682.062;0.048;-9482.551;75.541;212;013001.487;10.852;-1;7976.880152390126;-294.81815239012576
30;121;91;212;Pa;21593.358;74.862;7633.643;0.353;*;;212;023181.425;80.367;1;7939.129832927425;-305.486832927425
53;133;80;213;Hg;7666;298;7741.0;1;5882;299;213;008230;320;0;7978.721283234204;-237.72128323420384
51;132;81;213;Tl;1783.811;27.013;7765.43;0.127;4987.343;27.894;213;001915.000;29.000;0;8001.550582998256;-236.1205829982555
49;131;82;213;Pb;-3203.532;6.954;7785.172;0.033;2028.103;8.371;212;996560.867;7.465;0;8019.2512933038015;-234.07929330380193
47;130;83;213;Bi;-5231.635;5.082;7791.021;0.024;1421.949;5.490;212;994383.608;5.456;0;8031.823414150845;-240.80241415084492
45;129;84;213;Po;-6653.584;3.053;7794.024;0.014;-73.989;5.465;212;992857.083;3.277;0;8039.26694553938;-245.24294553937943
43;128;85;213;At;-6579.595;4.898;7790.003;0.023;-883.569;5.724;212;992936.514;5.257;0;8041.5818874694105;-251.5788874694108
41;127;86;213;Rn;-5696.026;3.370;7782.182;0.016;-2143.179;6.006;212;993885.064;3.617;0;8038.768239940936;-256.58623994093614
39;126;87;213;Fr;-3552.848;5.091;7768.447;0.024;-3898.405;11.057;212;996185.861;5.465;0;8030.826002953958;-262.37900295395775
37;125;88;213;Ra;345.557;9.818;7746.472;0.046;-5809.134;18.156;213;000370.970;10.540;0;8017.7551765084745;-271.28317650847475
35;124;89;213;Ac;6154.692;15.272;7715.526;0.072;-5965.394;17.834;213;006607.333;16.395;0;7999.555760604485;-284.0297606044851
33;123;90;213;Th;12120.086;9.217;7683.846;0.043;-7542.539;71.737;213;013011.447;9.895;0;7976.227755241991;-292.3817552419914
31;122;91;213;Pa;19662.625;71.142;7644.762;0.334;*;;213;021108.697;76.374;0;7947.771160420992;-303.009160420992
54;134;80;214;Hg;11178;401;7727.0;2;4713;446;214;012000;430;-1;7966.939870784785;-239.93987078478494
52;133;81;214;Tl;6465;196;7745.0;1;6647;196;214;006940;210;1;7984.168584525269;-239.16858452526867
50;132;82;214;Pb;-182.769;1.975;7772.394;0.009;1017.984;11.256;213;999803.788;2.120;-1;8010.623896393064;-238.22989639306343
48;131;83;214;Bi;-1200.753;11.209;7773.495;0.052;3269.293;11.165;213;998710.938;12.033;1;8017.684638602463;-244.18963860246276
46;130;84;214;Po;-4470.046;1.449;7785.116;0.007;-1090.215;4.107;213;995201.208;1.555;-1;8033.971978939171;-248.8559789391711
44;129;85;214;At;-3379.831;4.298;7776.366;0.020;939.911;10.014;213;996371.601;4.614;1;8030.864749617485;-254.49874961748537
42;128;86;214;Rn;-4319.742;9.187;7777.102;0.043;-3361.035;12.503;213;995362.566;9.862;-1;8036.984118423108;-259.8821184231083
40;127;87;214;Fr;-958.707;8.634;7757.74;0.040;-1051.441;10.086;213;998970.785;9.268;1;8023.708917570339;-265.9689175703388
38;126;88;214;Ra;92.734;5.250;7749.171;0.025;-6351.120;16.232;214;000099.554;5.636;-1;8019.660314844879;-270.4893148448791
36;125;89;214;Ac;6443.854;15.360;7715.837;0.072;-4251.030;18.693;214;006917.762;16.489;1;7996.217142461022;-280.38014246102193
34;124;90;214;Th;10694.885;10.661;7692.317;0.050;-8790.630;76.867;214;011481.431;11.445;-1;7982.000568204476;-289.6835682044757
32;123;91;214;Pa;19485.515;76.125;7647.583;0.356;*;;214;020918.561;81.723;1;7948.389424289537;-300.80642428953706
55;135;80;215;Hg;16208;401;7705.0;2;6297;499;215;017400;430;0;7947.5651898970955;-242.56518989709548
53;134;81;215;Tl;9911;298;7730.0;1;5569;303;215;010640;320;0;7973.474455349659;-243.47445534965937
51;133;82;215;Pb;4342.244;52.448;7752.737;0.244;2712.922;52.748;215;004661.590;56.304;0;7994.343737677699;-241.60673767769913
49;132;83;215;Bi;1629.322;5.624;7761.717;0.026;2171.028;5.530;215;001749.149;6.037;0;8010.173036881216;-248.45603688121628
47;131;84;215;Po;-541.706;2.121;7768.176;0.010;714.049;6.819;214;999418.454;2.276;0;8020.9623529602095;-252.78635296020911
45;130;85;215;At;-1255.756;6.799;7767.858;0.032;-87.195;10.168;214;998651.890;7.299;0;8026.711685914677;-258.85368591467704
43;129;86;215;Rn;-1168.561;7.672;7763.814;0.036;-1486.625;10.306;214;998745.498;8.236;0;8027.421035744622;-263.6070357446215
41;128;87;215;Fr;318.065;7.066;7753.26;0.033;-2215.674;10.077;215;000341.456;7.585;0;8023.090402450041;-269.8304024500412
39;127;88;215;Ra;2533.739;7.613;7739.316;0.035;-3496.877;14.551;215;002720.080;8.172;0;8013.719786030936;-274.4037860309363
37;126;89;215;Ac;6030.615;12.406;7719.413;0.058;-4890.971;15.234;215;006474.132;13.318;0;7999.309186487309;-279.896186487309
35;125;90;215;Th;10921.586;8.840;7693.025;0.041;-6942.353;73.380;215;011724.805;9.490;0;7979.858603819158;-286.83360381915827
33;124;91;215;Pa;17863.939;72.845;7657.096;0.339;-7059.147;114.616;215;019177.728;78.202;0;7955.368038026481;-298.2720380264818
31;123;92;215;U;24923.087;88.490;7620.624;0.412;*;;215;026756.035;94.997;0;7925.837489109282;-305.2134891092819
56;136;80;216;Hg;19859;401;7690.0;2;5142;499;216;021320;430;-1;7934.8723789162195;-244.87237891621953
54;135;81;216;Tl;14718;298;7710.0;1;7238;357;216;015800;320;1;7955.221928354017;-245.2219283540171
52;134;82;216;Pb;7480;196;7740.0;1;1606;196;216;008030;210;-1;7984.687193731035;-244.68719373103522
50;133;83;216;Bi;5873.991;11.178;7743.499;0.052;4091.571;11.324;216;006305.989;12.000;1;7995.043601879395;-251.5446018793955
48;132;84;216;Po;1782.420;1.816;7758.819;0.008;-474.246;3.571;216;001913.506;1.949;-1;8014.515725966973;-255.69672596697274
46;131;85;216;At;2256.666;3.575;7753.002;0.017;2003.799;6.836;216;002422.631;3.837;1;8014.8789928258975;-261.8769928258971
44;130;86;216;Rn;252.868;5.994;7758.657;0.028;-2718.082;7.126;216;000271.464;6.435;-1;8024.357975624039;-265.7009756240386
