N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene;Delta_2n;Delta_2p
15;90;75;165;Re;-30659.353;23.593;7.9015201;0.1430;-8913;202;967085.831;25.328;0;8.169533559546903;-0.2680134595469026;-0.0031746999999997527;-0.008324299999999951
13;89;76;165;Os;-21747;200;7.843;1;-10151;255;976654;215;0;8.107132015496624;-0.26413201549662446;-0.005044299999998891;-0.009695699999999974
11;88;77;165;Ir;-11595;158;7.776;1;-11277;430;987552;170;0;8.036454633214897;-0.2604546332148967;-0.00517460000000014;
9;87;78;165;Pt;-318;400;7.703;2;*;;999658;429;0;7.957501412701719;-0.25450141270171844;;
42;104;62;166;Sm;-40450;400;8.023;2;6299;412;956575;429;-1;8.209424046003562;-0.18642404600356244;-0.007219699999998497;
40;103;63;166;Eu;-46749;100;8.056;1;7622;100;949813;107;1;8.246596443980398;-0.19059644398039843;-0.004631399999997399;-0.015201999999998606
38;102;64;166;Gd;-54370.926;1.584;8.097226;0.0095;3437.8515;2.1558;941630.413;1.700;-1;8.29653330869839;-0.19930730869839053;-0.004454199999997854;-0.014142399999997224
36;101;65;166;Tb;-57808.778;1.463;8.113223;0.0088;4775.6930;1.6690;937939.727;1.570;1;8.317341214191703;-0.20411821419170373;-0.0037175999999981;-0.014271299999998988
34;100;66;166;Dy;-62584.471;0.804;8.1372793;0.0048;485.8684;0.8502;932812.810;0.862;-1;8.350913586426175;-0.213634286426176;-0.0033163999999974436;-0.014971099999998572
32;99;67;166;Ho;-63070.339;0.786;8.1354933;0.0047;1853.8057;0.7792;932291.209;0.844;1;8.355356999435969;-0.21986369943596884;-0.006257100000000904;-0.016104600000000246
30;98;68;166;Er;-64924.145;0.334;8.1419479;0.0020;-3037.6667;11.5470;930301.067;0.358;-1;8.37256487918692;-0.23061697918691948;-0.0052869999999991535;-0.01329589999999925
